claim_number,age_of_driver,gender,marital_status,safety_rating,annual_income,high_education,address_change,property_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present,liab_prct,channel,police_report,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,total_claim,injury_claim,policy_deductible,annual_premium,days_open,form_defects,fraud_reported
6511726,62,M,0,90,66056.0,1,1,Own,50021,2024-12-22,Sunday,Local,0,0,76,Phone,1,4.0,Large,16521.38,white,24548.54,5001.112247,500,1612.43,10,2,0
6511726,34,M,1,82,21312.8,0,1,Own,20106,2023-03-20,Monday,Parking Lot,0,1,0,Phone,1,5.0,Large,20504.51,black,44689.78,3431.849274,2000,1136.83,8,4,1
6511726,31,F,0,94,84939.2,1,1,Own,85077,2023-03-09,Thursday,Local,1,0,94,Phone,1,4.0,Medium,21003.68,gray,22015.11,5270.906542,2000,1322.78,9,3,0
6511726,44,M,0,73,60563.2,1,1,Own,50043,2023-12-23,Saturday,Parking Lot,1,1,81,Phone,1,1.0,Medium,15002.2,gray,15462.54,3812.903368,1000,1483.25,9,2,0
6511726,47,F,1,44,61587.2,1,0,Rent,50002,2024-07-30,Tuesday,Highway,0,0,57,Phone,0,4.0,Large,14516.13,white,12701.78,4627.458464,500,1463.82,7,7,0
6511726,62,F,0,75,66012.8,0,1,Own,20137,2023-03-01,Wednesday,Local,0,0,28,Phone,1,4.0,Compact,18719.36,gray,34051.35,3011.284525,500,1497.35,9,5,0
6511726,32,F,0,93,55452.8,1,0,Own,80010,2023-01-23,Monday,Highway,0,0,100,Phone,0,8.0,Large,15699.25,other,9448.86,4130.137132,500,1495.1,8,3,0
6511726,46,M,0,45,21312.8,0,1,Own,15025,2023-09-22,Friday,Local,1,1,34,Phone,1,2.0,Large,25602.21,other,30860.12,4499.059204,2000,1338.5,10,3,1
6511726,57,M,1,65,21312.8,1,0,Rent,85007,2024-08-09,Friday,Parking Lot,1,0,64,Phone,1,1.0,Medium,9732.69,gray,26752.07,5461.151361,1000,1074.07,10,3,1
6511726,56,M,1,83,44387.0,1,1,Rent,20148,2023-10-19,Thursday,Local,0,1,27,Phone,0,3.0,Medium,10883.71,red,11807.94,4511.907191,2000,1103.58,11,6,1
6511726,51,M,1,65,62905.6,0,1,Rent,20122,2023-07-17,Monday,Highway,0,1,27,Phone,0,4.0,Medium,8691.37,black,20342.44,5009.360744,500,964.79,8,6,0
7153920,45,F,0,57,60889.6,0,1,Own,85006,2023-12-31,Sunday,Local,1,0,50,Phone,1,3.0,Medium,41194.1,white,16502.58,2314.389231,1000,1439.34,9,5,0
7236864,28,M,1,83,53315.2,0,1,Rent,20117,2024-09-28,Saturday,Parking Lot,0,1,97,Phone,1,3.0,Medium,11213.12,red,26346.04,4432.226653,1000,1198.15,9,2,0
7547904,55,F,1,93,64113.6,1,1,Own,80002,2024-10-17,Thursday,Local,3,0,51,Phone,1,3.0,Compact,32829.03,blue,5747.3,1882.484537,500,1398.51,9,6,1
7568640,51,F,1,87,153869.71199999988,1,0,Rent,85035,2024-10-14,Monday,Highway,2,0,99,Phone,1,4.0,Compact,31615.04,other,28699.25,7990.167818,500,1355.08,9,4,0
7817472,41,F,0,66,29408.0,1,0,Rent,20163,2023-02-24,Friday,Parking Lot,0,0,99,Phone,1,7.0,Medium,13942.05,gray,41405.8,3996.453104,500,1158.03,10,5,1
7838208,50,M,1,68,62593.6,1,1,Own,15053,2024-06-09,Sunday,Parking Lot,0,1,3,Phone,1,7.0,Compact,17149.64,red,11575.15,3043.078453,1000,1372.27,9,4,0
7900416,47,F,1,79,61592.0,1,1,Own,80002,2024-07-29,Monday,Parking Lot,0,0,1,Phone,1,4.0,Medium,28423.24,gray,42880.44,6387.075386,1000,1275.39,10,8,1
8045568,49,F,0,79,82292.8,0,1,Own,85028,2024-10-30,Wednesday,Local,1,1,24,Phone,1,7.0,Compact,11488.23,silver,19754.24,6706.715266,500,1344.36,7,3,0
8211456,33,F,1,64,95934.4,1,0,Rent,20107,2024-02-19,Monday,Highway,0,0,3,Phone,0,2.0,Medium,12267.68,gray,13732.0,1971.468572,500,1203.24,8,3,0
8273664,44,M,1,89,80561.6,1,1,Own,20165,2024-11-13,Wednesday,Highway,0,0,21,Phone,1,3.0,Medium,49584.22,gray,47665.79,7193.215579,1000,1152.4,7,3,0
8335872,33,F,1,57,75953.6,1,1,Rent,20104,2023-03-18,Saturday,Parking Lot,0,0,96,Phone,1,8.0,Large,31494.76,other,9692.92,7457.212527,2000,1142.62,7,2,0
8792064,52,F,1,70,82292.8,1,1,Rent,50035,2023-09-12,Tuesday,Parking Lot,0,0,14,Phone,1,8.0,Compact,28494.96,gray,34879.35,6669.939824,500,1229.16,10,0,0
9020160,41,M,1,64,80561.6,1,0,Rent,20156,2023-06-22,Thursday,Local,2,0,20,Phone,1,3.0,Large,24455.91,red,32964.01,7713.185245,500,1706.79,10,8,0
9206784,58,M,1,86,82292.8,0,1,Own,20106,2024-08-21,Wednesday,Local,1,0,93,Phone,0,4.0,Large,14203.4,silver,34878.66,3798.774361,500,885.08,9,2,0
9248256,37,F,1,72,72593.6,1,1,Rent,15019,2024-05-20,Monday,Local,2,0,99,Phone,1,4.0,Large,9367.19,black,8871.64,8015.944434,500,1046.58,8,3,0
9455616,63,F,0,89,66300.8,1,0,Own,80109,2024-03-03,Sunday,Local,2,1,44,Phone,0,8.0,Medium,17901.32,black,52692.09,7462.860816,500,1382.88,8,3,1
9517824,35,F,1,68,56873.6,1,1,Own,50002,2024-12-30,Monday,Local,0,1,83,Phone,0,7.0,Large,31524.63,white,10721.77,2018.040967,1000,1141.35,9,2,0
9745920,42,M,0,68,93347.2,1,0,Own,80034,2024-03-24,Sunday,Highway,0,1,2,Phone,1,3.0,Large,11534.56,gray,30124.34,2245.716441,1000,986.53,8,3,0
10305792,48,M,1,94,80561.6,0,1,Rent,85067,2024-05-12,Sunday,Parking Lot,3,0,0,Phone,1,6.0,Compact,25215.64,white,17997.98,4501.841953,500,1722.95,8,2,0
10326528,53,M,1,75,63524.8,1,0,Own,50009,2024-02-23,Friday,Local,0,0,0,Phone,0,2.0,Large,15287.01,other,15750.4,3729.623072,2000,1281.07,9,4,0
10347264,38,F,1,72,58209.6,1,0,Rent,15025,2023-05-30,Tuesday,Parking Lot,0,0,56,Phone,1,6.0,Large,13844.88,gray,33318.57,2361.170033,500,1011.92,8,6,0
10492416,46,F,1,74,61276.8,1,0,Own,80104,2023-02-01,Wednesday,Parking Lot,1,0,9,Phone,1,4.0,Compact,37107.89,gray,16664.41,5422.67774,500,1301.72,10,2,0
10679040,35,F,0,87,86892.8,1,1,Own,20156,2023-11-23,Thursday,Parking Lot,0,0,92,Phone,0,1.0,Large,19600.9,gray,18686.11,5627.615502,500,767.14,8,4,0
10803456,23,F,0,63,70152.0,1,1,Rent,15047,2024-12-04,Wednesday,Local,0,0,73,Phone,0,4.0,Large,25707.24,silver,16029.71,5984.304844,1000,1538.26,9,5,0
11176704,51,M,0,80,62929.6,1,0,Own,15025,2024-03-20,Wednesday,Local,0,1,2,Phone,1,8.0,Compact,14774.95,red,16085.06,2930.331295,500,1314.6,8,3,1
11197440,52,F,0,68,63228.8,1,1,Own,80002,2024-10-10,Thursday,Highway,0,1,0,Phone,1,6.0,Medium,30100.27,red,20823.61,5670.095421,1000,1515.18,11,4,0
11840256,27,M,0,87,82292.8,1,1,Rent,85054,2024-12-05,Thursday,Highway,0,0,57,Phone,1,2.0,Medium,25604.8,black,26180.27,4214.161394,1000,1726.91,10,4,0
11860992,75,M,1,49,72593.6,0,0,Own,50032,2023-02-12,Sunday,Local,1,0,52,Phone,1,6.0,Compact,12946.99,white,19294.15,7547.316852,1000,1083.72,7,0,0
11964672,43,M,0,32,21312.8,1,1,Own,50032,2023-09-01,Friday,Local,0,0,6,Phone,0,6.0,Large,11544.57,blue,28746.62,3630.172038,2000,1371.78,9,6,1
12047616,65,M,1,73,26795.2,0,1,Own,20144,2023-02-24,Friday,Local,0,1,22,Phone,0,6.0,Compact,34869.34,black,21577.3,7656.655706,2000,932.14,9,3,1
12441600,39,M,0,73,58630.4,1,0,Own,15025,2024-02-24,Saturday,Parking Lot,0,0,96,Phone,1,7.0,Compact,16738.04,silver,27218.24,2248.581941,1000,773.99,10,2,0
13022208,42,M,1,57,59760.0,1,1,Own,50007,2024-11-23,Saturday,Highway,0,1,100,Phone,0,5.0,Compact,31016.36,white,17797.18,3165.039852,500,1459.97,8,3,1
13167360,53,F,0,78,153869.71199999988,1,0,Own,15001,2024-08-13,Tuesday,Parking Lot,0,0,68,Phone,0,7.0,Medium,25747.6,silver,28683.69,3435.867014,500,865.33,8,9,0
13436928,55,M,0,86,34105.6,1,0,Own,15045,2024-06-17,Monday,Highway,0,1,69,Phone,0,2.0,Compact,10736.03,blue,48844.3,4683.967849,2000,1134.08,10,6,1
13499136,49,F,1,62,62257.6,1,1,Own,15021,2024-05-31,Friday,Highway,0,0,14,Phone,0,6.0,Large,61317.52,white,22881.73,5041.963304,2000,1304.67,9,2,0
13561344,27,F,1,69,52723.2,1,0,Own,80024,2024-03-24,Sunday,Local,3,0,86,Phone,1,7.0,Compact,10073.11,blue,19897.24,4045.376399,2000,1035.79,9,6,0
14162688,53,M,1,92,43515.2,1,0,Own,80021,2023-07-24,Monday,Highway,0,1,76,Phone,1,3.0,Large,14621.55,white,23206.45,2961.131957,2000,722.66,11,5,1
14660352,38,F,1,70,58177.6,1,1,Own,15001,2023-01-04,Wednesday,Local,0,0,97,Phone,0,5.0,Compact,9610.59,blue,51668.9,6294.042374,1000,1004.63,9,5,0
14722560,68,F,1,66,37552.0,0,1,Rent,15012,2024-09-21,Saturday,Local,1,1,97,Phone,1,7.0,Medium,26014.28,white,19733.71,2439.667767,1000,1194.0,9,1,1
14743296,23,F,0,80,150181.0,1,0,Rent,15021,2024-11-27,Wednesday,Local,0,0,99,Phone,1,3.0,Compact,50337.83,gray,32663.07,1625.777507,1000,1248.25,9,1,0
14867712,43,F,1,88,153869.71199999988,1,0,Own,85068,2024-12-23,Monday,Local,0,0,84,Phone,1,5.0,Compact,37125.67,gray,33959.3,1694.017873,500,1338.54,10,5,0
14992128,42,F,1,44,79776.0,1,1,Rent,15056,2024-12-03,Tuesday,Local,0,0,0,Phone,1,9.0,Compact,61317.52,silver,31320.12,4933.853885,1000,1275.81,9,1,0
15116544,52,F,1,76,63216.0,1,0,Own,85069,2023-07-14,Friday,Local,1,1,41,Phone,0,2.0,Compact,13881.86,gray,52882.29,3643.979917,2000,972.47,7,3,0
15199488,37,F,1,78,87776.0,1,1,Own,80011,2023-04-24,Monday,Local,0,0,43,Phone,1,4.0,Medium,38455.02,gray,29864.73,3659.682727,500,806.31,8,7,0
15303168,52,F,1,69,153869.71199999988,0,0,Own,80013,2023-02-18,Saturday,Parking Lot,5,0,76,Phone,1,4.0,Medium,17243.71,white,45190.15,3760.108962,500,947.75,9,3,0
15323904,48,F,1,80,95941.0,0,0,Own,50049,2024-04-03,Wednesday,Parking Lot,1,0,86,Phone,0,6.0,Compact,12917.26,blue,13553.06,5708.055749,2000,1018.73,9,6,0
15552000,32,F,1,84,55462.4,0,1,Rent,50021,2023-07-01,Saturday,Local,0,0,90,Phone,1,4.0,Large,17289.21,silver,17203.25,5771.836303,500,915.29,10,9,1
15780096,45,F,0,41,87776.0,1,1,Own,85005,2024-06-29,Saturday,Local,0,0,74,Phone,0,4.0,Large,24722.5,gray,50905.86,4486.818427,1000,1086.48,11,6,0
15925248,41,M,1,91,21312.8,1,0,Own,15057,2023-12-09,Saturday,Local,0,0,76,Phone,0,6.0,Medium,25179.98,red,10762.97,4584.123661,2000,765.64,9,3,1
15987456,23,F,1,64,150181.0,1,0,Own,80034,2023-09-03,Sunday,Highway,0,0,36,Phone,1,3.0,Compact,23685.5,gray,6219.44,4753.01309,2000,1327.41,9,3,0
16277760,32,F,1,63,55449.6,1,0,Rent,20142,2024-01-13,Saturday,Highway,0,0,32,Phone,0,3.0,Large,23000.62,silver,7117.6,3856.532491,500,903.32,10,4,0
16588800,37,M,1,69,57795.2,0,0,Own,20109,2024-06-07,Friday,Local,0,0,58,Phone,0,3.0,Large,34134.53,silver,17069.92,8553.746771,500,889.13,9,3,0
16671744,51,M,0,73,150181.0,1,0,Rent,50044,2023-06-02,Friday,Parking Lot,0,0,32,Phone,1,5.0,Medium,8302.88,blue,12833.61,4101.351151,2000,995.56,10,1,0
16899840,43,M,0,65,60187.2,0,0,Rent,20107,2024-10-23,Wednesday,Parking Lot,0,0,51,Phone,0,2.0,Large,5067.2,silver,9882.54,5750.977419,500,1379.93,8,5,1
16920576,30,F,1,89,54400.0,1,0,Rent,20119,2024-06-29,Saturday,Local,0,0,3,Phone,1,3.0,Large,20147.88,silver,22833.78,2272.118067,1000,1554.64,9,4,1
16962048,54,F,1,30,153869.71199999988,1,0,Rent,50038,2023-10-11,Wednesday,Local,1,0,24,Phone,1,4.0,Compact,22710.87,red,18852.54,3121.382598,1000,1377.94,9,3,0
17293824,48,M,1,52,150181.0,0,1,Rent,20152,2024-09-25,Wednesday,Local,0,0,17,Phone,0,6.0,Medium,15995.37,other,19570.05,6269.606997,500,1259.02,9,6,0
17563392,46,M,0,83,95941.0,1,0,Rent,50027,2024-08-24,Saturday,Local,0,0,0,Phone,1,4.0,Large,57172.22,other,54261.16,4580.849745,500,1399.27,8,2,0
17687808,55,M,1,50,153869.71199999988,1,1,Own,20160,2024-10-03,Thursday,Local,0,0,52,Phone,1,2.0,Large,26349.4,white,17093.36,4793.678945,500,1365.46,8,2,0
18144000,45,F,1,82,60912.0,1,1,Rent,80105,2023-03-27,Monday,Local,0,1,22,Phone,1,6.0,Compact,12458.86,black,11712.66,3567.298101,2000,1595.07,10,3,0
18164736,37,M,1,87,57753.6,1,1,Own,15042,2024-09-21,Saturday,Parking Lot,0,0,90,Phone,0,5.0,Medium,16338.83,other,23806.11,5340.626994,1000,1127.89,9,3,0
18247680,40,M,0,71,59014.4,1,1,Own,85055,2024-11-11,Monday,Parking Lot,0,0,26,Phone,1,6.0,Medium,27967.56,other,40563.95,4797.526974,1000,1726.91,9,3,0
18330624,44,F,1,85,60537.6,0,1,Rent,20140,2023-10-26,Thursday,Local,2,1,16,Phone,1,8.0,Compact,22390.59,red,18074.52,8178.356479,1000,904.7,8,2,1
18517248,26,F,0,64,62144.0,1,1,Own,85050,2024-06-20,Thursday,Local,1,0,0,Phone,1,2.0,Medium,17548.47,white,36526.19,2503.438089,500,1216.56,9,4,0
18579456,48,M,1,91,61924.8,1,0,Rent,50036,2024-01-06,Saturday,Local,0,1,64,Phone,1,6.0,Large,45536.25,silver,37062.59,4732.768023,2000,966.26,8,6,0
18620928,53,M,0,59,153869.71199999988,0,1,Rent,85051,2024-10-06,Sunday,Highway,0,0,52,Phone,1,5.0,Large,27627.87,red,17203.43,3396.363297,500,1203.17,9,0,0
18703872,75,M,1,83,95941.0,1,0,Rent,80024,2024-07-10,Wednesday,Local,0,1,36,Phone,1,3.0,Medium,45498.18,red,35390.51,2293.342919,2000,1212.12,9,6,0
18952704,40,F,0,76,59024.0,0,0,Own,80001,2024-12-07,Saturday,Parking Lot,0,0,72,Phone,0,5.0,Medium,11666.59,gray,57299.1,3114.881097,500,1097.57,10,4,0
18994176,24,F,1,97,30833.6,0,1,Own,85073,2023-11-25,Saturday,Parking Lot,1,1,81,Phone,0,6.0,Compact,14976.49,black,15994.91,4401.706538,500,922.67,9,4,1
19035648,43,F,0,75,80185.6,1,1,Own,85030,2023-11-08,Wednesday,Parking Lot,1,0,35,Phone,0,2.0,Compact,15503.99,black,17054.73,11319.60982,500,1195.01,7,2,0
19139328,58,F,1,80,64955.2,1,0,Own,80014,2023-02-20,Monday,Local,0,1,28,Phone,1,4.0,Compact,17627.16,blue,27152.64,11589.08094,2000,1102.29,9,6,0
19222272,49,F,0,80,62280.0,0,1,Rent,50003,2024-08-10,Saturday,Parking Lot,3,0,80,Phone,1,6.0,Compact,12712.57,gray,18364.82,6456.132459,500,1527.95,9,4,0
19325952,49,M,1,58,62254.4,1,1,Own,50047,2023-11-30,Thursday,Local,0,0,96,Phone,1,3.0,Compact,34910.4,gray,28211.04,3648.663049,1000,1366.39,10,4,0
19367424,43,M,1,81,153869.71199999988,1,0,Own,15012,2023-08-28,Monday,Local,2,1,21,Phone,1,1.0,Compact,17059.55,black,47036.35,3451.848241,1000,1403.9,10,3,0
19450368,53,F,1,60,30833.6,0,0,Own,20148,2023-12-21,Thursday,Local,0,0,32,Phone,0,10.0,Large,32348.74,other,29288.45,4496.81883,2000,1554.86,8,9,1
19885824,62,M,0,42,96035.2,1,0,Rent,15010,2024-02-23,Friday,Parking Lot,0,0,15,Phone,1,4.0,Large,23157.79,other,10789.29,7768.325519,2000,1724.46,9,2,0
20093184,37,F,1,83,57787.2,0,1,Own,50055,2023-02-05,Sunday,Highway,0,0,89,Phone,1,6.0,Compact,21344.6,blue,26892.17,7622.251837,2000,1241.04,9,8,0
20134656,22,F,0,86,149433.6,1,0,Rent,85051,2024-10-26,Saturday,Local,1,1,43,Phone,1,4.0,Large,26475.49,blue,9013.2,5503.953904,500,1726.91,10,7,0
20279808,63,F,1,67,153869.71199999988,0,1,Rent,85028,2023-06-19,Monday,Local,1,1,94,Phone,1,4.0,Medium,32128.95,gray,27829.58,10465.63288,1000,802.24,10,4,0
20507904,45,F,1,71,153869.71199999988,0,0,Own,20132,2023-02-18,Saturday,Local,0,0,10,Phone,1,2.0,Medium,15690.95,silver,53232.69,2123.455627,500,1090.03,9,5,0
20839680,43,M,1,64,60196.8,0,0,Rent,20164,2024-02-11,Sunday,Highway,0,1,78,Phone,1,7.0,Medium,14256.02,white,10687.57,966.3382059,2000,1082.72,10,5,0
20860416,29,F,0,55,93876.8,1,0,Rent,85015,2024-01-09,Tuesday,Local,0,0,3,Phone,0,5.0,Large,10840.19,gray,20525.8,6503.598195,1000,1191.8,9,5,0
21067776,53,F,1,68,93496.0,1,0,Own,85003,2023-02-03,Friday,Highway,0,0,73,Phone,0,5.0,Large,42925.06,red,39407.1,6560.484083,2000,1459.93,10,8,0
21275136,50,M,1,59,80833.6,0,1,Own,80021,2023-02-05,Sunday,Local,2,1,32,Phone,1,7.0,Compact,25435.13,red,21765.28,4850.013982,2000,1398.46,10,1,0
21648384,40,F,1,97,59028.8,0,0,Own,50012,2024-04-03,Wednesday,Local,0,1,92,Phone,0,6.0,Medium,7158.68,black,11873.58,1957.140937,2000,1161.91,9,5,0
21669120,50,M,1,87,62579.2,0,0,Rent,20158,2023-02-20,Monday,Local,0,0,91,Phone,0,3.0,Large,25263.13,gray,10909.96,2833.544182,1000,1117.17,8,5,0
22187520,59,M,1,81,95219.2,0,1,Rent,85046,2023-01-09,Monday,Parking Lot,3,0,100,Phone,1,4.0,Compact,19650.85,blue,30113.38,4409.993546,1000,1306.78,8,3,0
22228992,40,M,0,59,80833.6,1,1,Rent,20132,2023-05-20,Saturday,Parking Lot,0,0,53,Phone,1,6.0,Medium,17408.79,blue,25028.08,6007.476149,1000,1538.6,9,3,0
22291200,38,F,1,76,21312.8,1,1,Rent,15010,2023-03-20,Monday,Local,1,0,51,Phone,1,4.0,Large,27802.0,gray,5550.72,3291.487946,1000,1354.5,10,5,1
22436352,26,M,1,44,52115.2,0,0,Rent,80010,2024-07-10,Wednesday,Local,1,1,4,Phone,1,5.0,Compact,61317.52,silver,28891.32,2121.455087,1000,1346.27,8,5,0
22477824,34,M,0,74,21312.8,0,1,Own,80015,2023-06-11,Sunday,Parking Lot,1,0,86,Phone,1,8.0,Large,12294.59,gray,22973.23,2515.286561,1000,949.44,9,8,1
22519296,60,M,0,71,153869.71199999988,0,1,Own,20124,2024-06-23,Sunday,Local,0,1,1,Phone,0,5.0,Medium,5477.84,gray,12035.63,2026.468383,2000,977.4,9,1,0
22685184,37,F,1,60,153869.71199999988,1,0,Own,85017,2024-03-23,Saturday,Local,2,0,76,Phone,1,5.0,Compact,15105.37,other,22205.7,7527.844832,500,1187.53,8,3,0
23016960,44,F,0,84,60524.8,1,0,Rent,15012,2023-07-01,Saturday,Local,0,0,1,Phone,0,1.0,Medium,19930.92,blue,5830.77,0.0,500,1075.41,8,0,0
23286528,60,F,1,95,65515.2,1,1,Own,80022,2023-08-31,Thursday,Local,0,1,50,Phone,1,7.0,Medium,12347.38,gray,17179.1,4345.949974,1000,1575.86,8,5,0
23639040,38,F,1,83,58208.0,1,0,Own,85041,2024-07-13,Saturday,Highway,0,0,17,Phone,1,2.0,Medium,23832.43,silver,17320.95,2898.512666,1000,1056.71,9,4,0
23970816,43,F,1,73,60163.2,1,0,Rent,50049,2024-05-04,Saturday,Highway,1,1,95,Phone,1,6.0,Medium,28342.33,black,42352.71,6623.06584,1000,1313.64,8,2,0
24157440,50,M,1,69,42620.8,1,0,Own,85013,2023-06-12,Monday,Local,0,0,1,Phone,1,6.0,Compact,8303.07,white,18538.45,7762.016782,2000,1726.91,9,4,1
24198912,45,F,0,51,60915.2,1,1,Rent,15030,2024-10-26,Saturday,Local,0,0,51,Phone,0,4.0,Large,35498.16,other,38452.18,2980.458612,2000,1453.92,8,7,0
24344064,34,M,1,69,56414.4,0,0,Own,50023,2024-01-20,Saturday,Local,0,0,77,Phone,1,4.0,Large,18817.56,red,13438.93,5540.826327,500,914.22,10,1,0
24447744,32,F,0,85,55459.2,1,1,Own,20151,2024-07-06,Saturday,Local,4,0,96,Phone,1,6.0,Large,22030.23,silver,30762.89,1755.653893,1000,1096.79,9,4,0
24530688,43,M,1,81,60171.2,0,0,Own,85077,2024-06-08,Saturday,Local,0,0,38,Phone,0,5.0,Large,22246.31,black,40916.69,4186.956952,2000,1078.22,8,4,0
24738048,46,M,1,92,61251.2,1,1,Rent,50021,2023-03-01,Wednesday,Highway,0,0,25,Phone,0,7.0,Compact,34263.51,white,42173.08,3513.617828,2000,1117.42,8,6,0
24883200,38,F,1,77,58198.4,1,1,Rent,50041,2024-06-27,Thursday,Local,3,0,79,Phone,1,3.0,Large,12088.77,gray,10726.82,5791.698363,1000,1152.12,8,5,0
24924672,34,F,1,85,56441.6,1,0,Own,20101,2024-01-20,Saturday,Highway,0,0,1,Phone,0,5.0,Medium,5535.51,silver,25486.97,4061.311065,1000,1441.21,10,9,0
25007616,34,F,1,91,56406.4,0,1,Rent,20113,2023-04-11,Tuesday,Highway,0,0,0,Phone,0,2.0,Large,44130.44,gray,17390.61,5209.572696,1000,1726.91,12,6,1
25028352,33,F,0,51,55945.6,1,0,Own,80103,2024-03-13,Wednesday,Parking Lot,0,1,53,Phone,1,3.0,Compact,17610.1,black,23742.04,3779.277017,1000,1570.86,8,5,1
25111296,45,F,0,86,60913.6,1,1,Own,85078,2023-11-24,Friday,Parking Lot,0,0,62,Phone,0,8.0,Compact,31284.85,other,31516.37,3885.14916,2000,791.47,8,3,1
25297920,37,F,1,83,57748.8,0,1,Rent,80016,2024-07-17,Wednesday,Local,4,0,77,Phone,1,6.0,Compact,23063.0,white,14997.99,3669.712775,500,1047.06,9,3,0
